exec,dataset,n_cluster,threads,sample,nmi,time
kmeans_parakmeans,dataset-10000000,10,100,0,0.783313,13.3061
kmeans_parakmeans,dataset-10000000,10,100,1,0.7833,12.9381
kmeans_parakmeans,dataset-10000000,10,100,2,0.783307,20.2068
kmeans_parakmeans,dataset-10000000,10,100,3,0.821634,17.0191
kmeans_parakmeans,dataset-10000000,10,100,4,0.821624,13.0297
kmeans_parakmeans,dataset-10000000,10,100,5,0.810341,17.1483
kmeans_parakmeans,dataset-10000000,10,100,6,0.719948,11.0075
kmeans_parakmeans,dataset-10000000,10,100,7,0.789482,7.91258
kmeans_parakmeans,dataset-10000000,10,100,8,0.790216,6.79675
kmeans_parakmeans,dataset-10000000,10,100,9,0.786475,12.0153
